#id  z  band  RA  DEC  qso_mag  host_mag  sersic_index  reff_arcsec  reduced_chisq
145345.93-014358.6    0.390 I    223.441406250  -1.732961059   19.94   20.24  1.25  0.75  1.35
144740.17+010541.9    0.343 G    221.917404175   1.094998002   18.65   21.41  2.10  1.98  1.19
143058.84+003505.3    0.374 R    217.745193481   0.584815979   19.81   19.33  1.85  1.84  2.61
145345.93-014358.6    0.390 G    223.441406250  -1.732961059   20.15   22.23  1.85  0.71  1.22
145857.84-013419.3    0.276 I    224.741027832  -1.572036028   18.67   18.93  2.74  1.25  2.92
144747.02+005518.0    0.296 R    221.945938110   0.921688974   18.89   19.07  2.24  0.93  2.03
145857.84-013419.3    0.276 G    224.741027832  -1.572036028   19.27   20.35  3.34  1.42  1.60
145345.93-014358.6    0.390 R    223.441406250  -1.732961059   20.07   20.75  1.85  0.70  1.28
145857.84-013419.3    0.276 R    224.741027832  -1.572036028   18.91   19.40  3.04  1.26  2.18
144740.17+010541.9    0.343 R    221.917404175   1.094998002   18.67   20.40  1.39  1.97  1.27
145442.43+003851.6    0.396 I    223.676803589   0.647666991   19.34   18.85  0.99  1.61  5.08
143223.80-014823.1    0.397 R    218.099197388  -1.806439042   19.48   20.30  1.25  0.94  1.17
150019.08+000249.0    0.376 I    225.079513550   0.046967000   19.43   18.73  4.50  1.28  1.14
150019.08+000249.0    0.376 G    225.079513550   0.046967000   19.75   20.78  5.10  1.36  1.10
145632.61+013348.7    0.348 I    224.135879517   1.563554048   18.37   19.19  1.02  0.69 39.75
150019.08+000249.0    0.376 R    225.079513550   0.046967000   19.30   19.46  3.90  1.58  1.05
145955.06+422503.6    0.364 I    224.979431152  42.417667389   20.18   18.35  2.04  0.75  2.62
145442.43+003851.6    0.396 G    223.676803589   0.647666991   19.09   20.51  1.20  1.51  1.53
150349.11+432009.9    0.382 I    225.954666138  43.336109161   19.03   19.68  0.94  1.10  2.92
150349.11+432009.9    0.382 G    225.954666138  43.336109161   18.99   21.28  1.54  1.40  1.60
145632.61+013348.7    0.348 G    224.135879517   1.563554048   18.13   21.06  1.62  0.98 35.16
145501.58+431244.9    0.247 I    223.756622314  43.212490082   18.78   18.40  4.20  0.96  1.28
145442.43+003851.6    0.396 R    223.676803589   0.647666991   19.18   19.34  1.17  1.61  2.55
150026.19-005428.3    0.281 I    225.109146118  -0.907875001   20.01   18.54  5.19  1.48  1.58
145955.06+422503.6    0.364 G    224.979431152  42.417667389   20.05   19.83  1.44  0.82  1.38
150349.11+432009.9    0.382 R    225.954666138  43.336109161   19.24   19.57  1.54  0.80  2.60
150026.19-005428.3    0.281 G    225.109146118  -0.907875001   21.16   20.32  5.79  1.71  1.11
153231.80+420342.7    0.209 I    233.132507324  42.061870575   19.51   17.75  5.26  0.75  2.35
151439.00+430211.7    0.344 I    228.662521362  43.036598206   20.43   18.71  2.88  0.95  4.89
153151.73+434641.7    0.392 I    232.965560913  43.778266907   20.22   18.54  1.25  1.95  1.64
153231.80+420342.7    0.209 G    233.132507324  42.061870575   19.89   19.37  5.68  1.05  1.36
145632.61+013348.7    0.348 R    224.135879517   1.563554048   18.28   19.59  1.62  0.65 17.98
145501.58+431244.9    0.247 G    223.756622314  43.212490082   19.19   20.44  3.60  1.26  1.17
153231.80+420342.7    0.209 R    233.132507324  42.061870575   19.12   18.66  4.66  0.98  1.53
151439.00+430211.7    0.344 G    228.662521362  43.036598206   20.05   20.21  2.28  1.23  2.04
153151.73+434641.7    0.392 G    232.965560913  43.778266907   19.94   20.38  0.70  2.18  1.17
150416.96+420650.4    0.381 I    226.070678711  42.114025116   19.58   20.60  3.39  0.37  1.18
145955.06+422503.6    0.364 R    224.979431152  42.417667389   19.82   18.81  1.73  0.85  2.52
151439.00+430211.7    0.344 R    228.662521362  43.036598206   19.98   19.30  2.28  1.18  1.99
153151.73+434641.7    0.392 R    232.965560913  43.778266907   19.88   19.10  0.90  2.09  1.08
153240.87+433225.2    0.388 I    233.170318603  43.540355682   20.16   19.59  2.72  0.81 19.97
151803.82+421251.7    0.349 I    229.515930176  42.214385986   19.74   19.77  2.81  0.77  2.10
153947.62+431341.6    0.348 I    234.948425293  43.228229523   18.80   18.68  3.40  1.99  4.08
162309.61+431513.6    0.397 I    245.790054321  43.253780365   19.57   19.50  1.22  1.24  2.71
145501.58+431244.9    0.247 R    223.756622314  43.212490082   19.21   18.91  3.60  1.26  1.29
150026.19-005428.3    0.281 R    225.109146118  -0.907875001   32.00   18.84  5.55  1.41  1.84
150416.96+420650.4    0.381 G    226.070678711  42.114025116   19.85   22.02  3.99  0.25  1.07
162309.61+431513.6    0.397 G    245.790054321  43.253780365   19.66   21.20  0.87  1.54  1.11
160655.26+424336.9    0.322 I    241.730270386  42.726928711   19.67   18.35  6.35  1.93 14.63
162309.61+431513.6    0.397 R    245.790054321  43.253780365   19.55   20.11  0.69  1.39  1.62
220152.03+003022.2    0.375 I    330.466796875   0.506187975   19.74   19.34  1.08  1.00  3.02
153240.87+433225.2    0.388 G    233.170318603  43.540355682   20.53   21.84  2.12  1.10  1.94
220152.03+003022.2    0.375 G    330.466796875   0.506187975   19.82   20.85  1.68  0.89  1.06
153947.62+431341.6    0.348 G    234.948425293  43.228229523   18.47   20.44  2.79  2.29  2.06
220152.03+003022.2    0.375 R    330.466796875   0.506187975   19.61   19.88  0.95  1.09  1.47
160655.26+424336.9    0.322 G    241.730270386  42.726928711   19.81   19.78  6.39  1.74  6.09
